#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                  rdrand.bin.bin|  1.39e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
#=============================================================================#
   diehard_birthdays|   0|       100|     100|0.85787296|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.95268861|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.65388622|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.31155049|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.11393163|  PASSED  
        diehard_opso|   0|   2097152|     100|0.17357049|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.16745417|  PASSED  
         diehard_dna|   0|   2097152|     100|0.46705053|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.90543018|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.60608496|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.89883444|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.92277011|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.27046186|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.80961890|  PASSED  
        diehard_sums|   0|       100|     100|0.16809292|  PASSED  
        diehard_runs|   0|    100000|     100|0.48277600|  PASSED  
        diehard_runs|   0|    100000|     100|0.00772442|  PASSED  
       diehard_craps|   0|    200000|     100|0.09402210|  PASSED  
       diehard_craps|   0|    200000|     100|0.75885689|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.78581396|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.95127082|  PASSED  
         sts_monobit|   1|    100000|     100|0.69829241|  PASSED  
            sts_runs|   2|    100000|     100|0.02395351|  PASSED  
          sts_serial|   1|    100000|     100|0.99959216|   WEAK   
          sts_serial|   2|    100000|     100|0.37298694|  PASSED  
          sts_serial|   3|    100000|     100|0.44354055|  PASSED  
          sts_serial|   3|    100000|     100|0.15621888|  PASSED  
          sts_serial|   4|    100000|     100|0.61043281|  PASSED  
          sts_serial|   4|    100000|     100|0.99277183|  PASSED  
          sts_serial|   5|    100000|     100|0.46463001|  PASSED  
          sts_serial|   5|    100000|     100|0.41187711|  PASSED  
          sts_serial|   6|    100000|     100|0.86340246|  PASSED  
          sts_serial|   6|    100000|     100|0.15590102|  PASSED  
          sts_serial|   7|    100000|     100|0.59038462|  PASSED  
          sts_serial|   7|    100000|     100|0.28381567|  PASSED  
          sts_serial|   8|    100000|     100|0.98864578|  PASSED  
          sts_serial|   8|    100000|     100|0.29607367|  PASSED  
          sts_serial|   9|    100000|     100|0.88386133|  PASSED  
          sts_serial|   9|    100000|     100|0.71447156|  PASSED  
          sts_serial|  10|    100000|     100|0.82002835|  PASSED  
          sts_serial|  10|    100000|     100|0.24480404|  PASSED  
          sts_serial|  11|    100000|     100|0.58400119|  PASSED  
          sts_serial|  11|    100000|     100|0.66212454|  PASSED  
          sts_serial|  12|    100000|     100|0.26793796|  PASSED  
          sts_serial|  12|    100000|     100|0.01107433|  PASSED  
          sts_serial|  13|    100000|     100|0.55989932|  PASSED  
          sts_serial|  13|    100000|     100|0.79822094|  PASSED  
          sts_serial|  14|    100000|     100|0.57325823|  PASSED  
          sts_serial|  14|    100000|     100|0.89507966|  PASSED  
          sts_serial|  15|    100000|     100|0.69308433|  PASSED  
          sts_serial|  15|    100000|     100|0.01182213|  PASSED  
          sts_serial|  16|    100000|     100|0.75144515|  PASSED  
          sts_serial|  16|    100000|     100|0.33925723|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.83495708|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.84272764|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.36751354|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.99997500|   WEAK   
         rgb_bitdist|   5|    100000|     100|0.47738451|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.91640789|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.06383955|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.33529515|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.85075157|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.92850872|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.49489806|  PASSED  
